sigma,snr,repeat,lambda_ridge,lambda_,gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
0.3,3.3333333333333335,30,1.0,1.0,0.5,0.2929195201101271,0.9954856453526205,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.009083032608032227
0.3,3.3333333333333335,31,1.0,1.0,0.5,0.9539481422823106,0.9843174605060359,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008771181106567383
0.3,3.3333333333333335,32,1.0,1.0,0.5,0.981000108819526,0.986498825774468,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.009259223937988281
0.3,3.3333333333333335,33,1.0,1.0,0.5,0.579296241217405,0.9894478631293843,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008781671524047852
0.3,3.3333333333333335,34,1.0,1.0,0.5,0.35133212273099773,0.9961866435960187,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008703947067260742
0.3,3.3333333333333335,35,1.0,1.0,0.5,0.5227469534197086,0.9932108002659575,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009013891220092773
0.3,3.3333333333333335,36,1.0,1.0,0.5,0.3757889782772711,0.994852578660474,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.010426521301269531
0.3,3.3333333333333335,37,1.0,1.0,0.5,0.5522780330362885,0.9946480840073836,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.009114503860473633
0.3,3.3333333333333335,38,1.0,1.0,0.5,1.005672182327746,0.9803081758212391,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009108781814575195
0.3,3.3333333333333335,39,1.0,1.0,0.5,0.5795164817601223,0.9924804909864606,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009275436401367188
0.3,3.3333333333333335,40,1.0,1.0,0.5,0.6829888004003156,0.9913332758280154,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008738040924072266
0.3,3.3333333333333335,41,1.0,1.0,0.5,3.7212038534428586,0.9548992507757017,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.00878286361694336
0.3,3.3333333333333335,42,1.0,1.0,0.5,0.8421744029065239,0.9913312295735158,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.008940696716308594
0.3,3.3333333333333335,43,1.0,1.0,0.5,0.5638211817181706,0.99286102219068,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008840799331665039
0.3,3.3333333333333335,44,1.0,1.0,0.5,1.5440630459564326,0.9769966641134765,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,0,0.009375810623168945
0.3,3.3333333333333335,45,1.0,1.0,0.5,0.5622380110941508,0.9930897950398329,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008828401565551758
0.3,3.3333333333333335,46,1.0,1.0,0.5,1.451133341933986,0.9763378510058939,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008632659912109375
0.3,3.3333333333333335,47,1.0,1.0,0.5,0.6161286437637161,0.9929072655726849,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009117364883422852
0.3,3.3333333333333335,48,1.0,1.0,0.5,0.529951502180816,0.9923992347829792,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008476495742797852
0.3,3.3333333333333335,49,1.0,1.0,0.5,0.5902735884596855,0.9900851872362406,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.019990205764770508
0.5,2.0,0,1.0,1.0,0.5,0.6666224358383019,0.9919087305777616,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.008957862854003906
0.5,2.0,1,1.0,1.0,0.5,1.1116582251450737,0.9889161177907022,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.009094715118408203
0.5,2.0,2,1.0,1.0,0.5,0.7307483113633019,0.9886842043406499,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.008973121643066406
0.5,2.0,3,1.0,1.0,0.5,1.0210123530554782,0.9884295154003251,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008738994598388672
0.5,2.0,4,1.0,1.0,0.5,1.1166073867992852,0.985585778088092,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.00879049301147461
0.5,2.0,5,1.0,1.0,0.5,1.0576403235434049,0.9888839758373997,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009296655654907227
0.5,2.0,6,1.0,1.0,0.5,0.9005716552285483,0.9883275654284287,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.00960397720336914
0.5,2.0,7,1.0,1.0,0.5,1.4829323090433593,0.9829221338006564,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.009094953536987305
0.5,2.0,8,1.0,1.0,0.5,2.502535461275191,0.9687942786064266,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008726358413696289
0.5,2.0,9,1.0,1.0,0.5,1.4280123613508922,0.9829246960567237,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.008883237838745117
0.5,2.0,10,1.0,1.0,0.5,0.5807258916545671,0.9936829753863164,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,0.009473085403442383
0.5,2.0,11,1.0,1.0,0.5,0.8523158199977576,0.9919248908936071,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008738994598388672
0.5,2.0,12,1.0,1.0,0.5,0.5843790189605714,0.990230352970392,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.012525796890258789
0.5,2.0,13,1.0,1.0,0.5,1.0992071747848933,0.9746748894838443,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.008949995040893555
0.5,2.0,14,1.0,1.0,0.5,0.8238039132186125,0.9904934853175323,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.009042739868164062
0.5,2.0,15,1.0,1.0,0.5,0.8757388472696758,0.9869636642693095,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.008819818496704102
0.5,2.0,16,1.0,1.0,0.5,0.4443120987102326,0.9925551489591227,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.008873939514160156
0.5,2.0,17,1.0,1.0,0.5,0.8269008531238881,0.9848766827149354,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.00866389274597168
0.5,2.0,18,1.0,1.0,0.5,0.6745393607965,0.9911378521856511,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.009035825729370117
0.5,2.0,19,1.0,1.0,0.5,1.2751641365400868,0.9880314977928201,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009000062942504883
0.5,2.0,20,1.0,1.0,0.5,0.847548175361277,0.9889735136534776,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.008677482604980469
0.5,2.0,21,1.0,1.0,0.5,0.7887217831831762,0.985241893049342,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.01127767562866211
0.5,2.0,22,1.0,1.0,0.5,0.6575986664666585,0.991658419349608,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009274721145629883
0.5,2.0,23,1.0,1.0,0.5,0.6499354643869818,0.9917204074759546,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.009168386459350586
0.5,2.0,24,1.0,1.0,0.5,1.0380041517488026,0.9870994654117793,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.00876307487487793
0.5,2.0,25,1.0,1.0,0.5,0.7094766057022652,0.9916511565089279,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.010068416595458984
0.5,2.0,26,1.0,1.0,0.5,0.5905348251569014,0.9912270809866148,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.01035618782043457
0.5,2.0,27,1.0,1.0,0.5,2.0649518694800113,0.9706921854162186,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.010327339172363281
0.5,2.0,28,1.0,1.0,0.5,1.263502094029135,0.9825721610943112,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.010025739669799805
0.5,2.0,29,1.0,1.0,0.5,0.907444297718697,0.9901221733075863,1.0,1.0,0.0,1.0,1.0,0.96,20,0,0.009453296661376953
0.5,2.0,30,1.0,1.0,0.5,0.39819600421169465,0.9937876777215169,0.9523809523809523,1.0,0.09090909090909091,0.9090909090909091,1.0,0.956,22,0,0.0103759765625
0.5,2.0,31,1.0,1.0,0.5,1.1686231893074137,0.9808861855830978,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.009811639785766602
0.5,2.0,32,1.0,1.0,0.5,1.32468000104852,0.9819170845934759,0.9302325581395349,1.0,0.13043478260869565,0.8695652173913043,1.0,0.954,23,0,0.010347127914428711
