repeat,seed,train_size,test_size,test_mse,model_size,sparsity,train_time,n_selected,selected_features,best_alpha,iteration,algo
44,86,56,15,0.6425379719258351,17,0.9958414872798435,13.02391004562378,17,"[623, 826, 941, 1122, 1207, 1209, 1281, 1296, 1311, 1527, 1761, 1819, 2563, 2741, 2873, 3513, 4002]",0.1,44,lasso_cv
45,87,56,15,0.10942022679214443,50,0.9877690802348337,18.915823698043823,50,"[11, 32, 40, 63, 72, 118, 243, 623, 653, 858, 889, 1099, 1124, 1130, 1193, 1209, 1281, 1293, 1302, 1424, 1477, 1597, 1635, 1638, 1761, 1826, 2026, 2094, 2115, 2241, 2264, 2305, 2344, 2461, 2473, 2563, 2873, 3103, 3168, 3225, 3310, 3490, 3513, 3538, 3555, 3591, 3609, 3754, 4002, 4003]",0.01,45,lasso_cv
46,88,56,15,0.10067367555122747,20,0.9951076320939335,16.486586332321167,20,"[72, 314, 623, 826, 973, 1130, 1277, 1296, 1302, 1424, 1515, 1635, 1638, 1761, 1819, 1826, 1856, 2563, 3225, 4002]",0.1,46,lasso_cv
47,89,56,15,0.3091038420542716,47,0.9885029354207436,17.44246554374695,47,"[72, 74, 188, 195, 281, 404, 414, 623, 813, 858, 896, 1130, 1278, 1280, 1282, 1424, 1515, 1588, 1647, 1761, 1826, 1848, 1875, 2026, 2241, 2264, 2278, 2461, 2473, 2505, 2529, 2563, 2814, 2873, 2935, 3054, 3103, 3104, 3310, 3378, 3666, 3668, 3807, 3949, 4002, 4003, 4017]",0.01,47,lasso_cv
48,90,56,15,0.1857682491306884,21,0.9948630136986302,19.28500747680664,21,"[72, 623, 791, 973, 1277, 1302, 1311, 1515, 1527, 1638, 1761, 1819, 1995, 2563, 3225, 3310, 3513, 3807, 4002, 4003, 4074]",0.1,48,lasso_cv
49,91,56,15,0.3176181939004212,48,0.9882583170254403,20.089027881622314,48,"[32, 72, 133, 229, 555, 597, 598, 950, 1099, 1103, 1122, 1130, 1209, 1296, 1302, 1305, 1308, 1363, 1597, 1623, 1635, 1638, 1761, 1809, 1848, 1959, 1985, 2022, 2026, 2115, 2241, 2317, 2473, 2563, 3102, 3104, 3225, 3238, 3310, 3415, 3456, 3513, 3625, 3738, 3751, 3977, 4003, 4072]",0.01,49,lasso_cv
50,92,56,15,0.20177020968733278,47,0.9885029354207436,14.59999418258667,47,"[33, 64, 72, 313, 314, 414, 579, 584, 623, 791, 858, 890, 1130, 1280, 1281, 1302, 1424, 1523, 1527, 1591, 1638, 1761, 1809, 1819, 1826, 1875, 2026, 2033, 2094, 2141, 2154, 2264, 2505, 2563, 2926, 3109, 3302, 3378, 3476, 3545, 3643, 3846, 3860, 4002, 4046, 4047, 4069]",0.01,50,lasso_cv
51,93,56,15,0.15993384497851076,49,0.988013698630137,18.121152639389038,49,"[72, 243, 584, 623, 653, 858, 1130, 1238, 1280, 1302, 1355, 1363, 1424, 1441, 1523, 1525, 1584, 1635, 1638, 1761, 1801, 1809, 1826, 1854, 2026, 2139, 2161, 2183, 2241, 2461, 2491, 2563, 2693, 2989, 3104, 3109, 3225, 3378, 3478, 3513, 3514, 3545, 3555, 3597, 3904, 3949, 4002, 4003, 4069]",0.01,51,lasso_cv
52,94,56,15,0.1907809588246596,49,0.988013698630137,16.917644262313843,49,"[32, 58, 72, 133, 230, 404, 541, 588, 623, 682, 711, 858, 941, 1064, 1130, 1209, 1276, 1280, 1293, 1363, 1424, 1435, 1477, 1584, 1635, 1638, 1761, 1819, 1935, 2006, 2026, 2278, 2305, 2344, 2461, 2473, 2563, 2814, 2873, 3054, 3102, 3103, 3225, 3317, 3365, 3513, 3688, 3904, 4003]",0.01,52,lasso_cv
53,95,56,15,0.12139081569715289,47,0.9885029354207436,16.125742435455322,47,"[72, 189, 281, 414, 584, 597, 623, 653, 889, 1124, 1130, 1206, 1209, 1278, 1280, 1293, 1301, 1363, 1424, 1441, 1523, 1527, 1584, 1635, 1638, 1647, 1761, 1801, 1826, 1848, 1858, 2026, 2094, 2344, 2461, 2563, 2738, 2873, 3103, 3104, 3225, 3545, 3751, 3754, 3961, 3972, 4002]",0.01,53,lasso_cv
