gamma,cap,f1_mean,f1_std,mse_mean,mse_std,tpr_mean,tpr_std,fdr_mean,fdr_std,precision_mean,precision_std,recall_mean,recall_std,r2_mean,r2_std,sparsity_mean,sparsity_std,n_selected_mean,n_selected_std,sign_accuracy_mean,sign_accuracy_std,active_set_size_mean,active_set_size_std,avg_bias_mean,avg_bias_std,f1_se,mse_se,tpr_se,fdr_se,precision_se,recall_se,r2_se,sparsity_se,n_selected_se,sign_accuracy_se,active_set_size_se,avg_bias_se,f1_rank,mse_rank,fdr_rank,sign_accuracy_rank
2.0,20,0.826942,0.06149,11.728502,0.803313,0.897,0.067317,0.227361,0.084219,0.772639,0.084219,0.897,0.067317,0.870046,0.009334,0.953,0.006518,23.5,3.25921,1.0,0.0,23.5,3.25921,0.418044,0.089531,0.008696,0.113606,0.00952,0.01191,0.01191,0.00952,0.00132,0.000922,0.460922,0.0,0.460922,0.012662,10.5,4.0,9.5,28.5
2.0,50,0.826942,0.06149,11.73,0.803917,0.897,0.067317,0.227361,0.084219,0.772639,0.084219,0.897,0.067317,0.870029,0.009342,0.953,0.006518,23.5,3.25921,1.0,0.0,23.5,3.25921,0.418325,0.09,0.008696,0.113691,0.00952,0.01191,0.01191,0.00952,0.001321,0.000922,0.460922,0.0,0.460922,0.012728,10.5,6.0,9.5,28.5
2.0,100,0.826942,0.06149,11.73,0.803917,0.897,0.067317,0.227361,0.084219,0.772639,0.084219,0.897,0.067317,0.870029,0.009342,0.953,0.006518,23.5,3.25921,1.0,0.0,23.5,3.25921,0.418325,0.09,0.008696,0.113691,0.00952,0.01191,0.01191,0.00952,0.001321,0.000922,0.460922,0.0,0.460922,0.012728,10.5,6.0,9.5,28.5
2.0,None,0.826942,0.06149,11.73,0.803917,0.897,0.067317,0.227361,0.084219,0.772639,0.084219,0.897,0.067317,0.870029,0.009342,0.953,0.006518,23.5,3.25921,1.0,0.0,23.5,3.25921,0.418325,0.09,0.008696,0.113691,0.00952,0.01191,0.01191,0.00952,0.001321,0.000922,0.460922,0.0,0.460922,0.012728,10.5,6.0,9.5,28.5
3.0,1,0.770459,0.079362,12.027777,0.895493,0.982,0.029898,0.359859,0.101504,0.640141,0.101504,0.982,0.029898,0.866745,0.010129,0.93696,0.011308,31.52,5.654112,1.0,0.0,31.52,5.654112,0.336901,0.04804,0.011223,0.126642,0.004228,0.014355,0.014355,0.004228,0.001432,0.001599,0.799612,0.0,0.799612,0.006794,52.0,46.0,53.0,28.5
3.0,2,0.763113,0.083258,12.458967,0.805189,0.948,0.056207,0.351955,0.115042,0.648045,0.115042,0.948,0.056207,0.861966,0.009186,0.93948,0.012334,30.26,6.167095,1.0,0.0,30.26,6.167095,0.453133,0.064845,0.011774,0.113871,0.007949,0.016269,0.016269,0.007949,0.001299,0.001744,0.872159,0.0,0.872159,0.00917,56.0,53.0,49.0,28.5
3.0,5,0.782018,0.082131,12.757903,1.017409,0.845,0.087043,0.258588,0.122392,0.741412,0.122392,0.845,0.087043,0.858647,0.011601,0.95292,0.010971,23.54,5.485454,1.0,0.0,23.54,5.485454,0.514184,0.102086,0.011615,0.143883,0.01231,0.017309,0.017309,0.01231,0.001641,0.001552,0.77576,0.0,0.77576,0.014437,47.0,56.0,26.0,28.5
3.0,10,0.806928,0.070863,12.156097,1.04828,0.848,0.08204,0.221721,0.099238,0.778279,0.099238,0.848,0.08204,0.865308,0.012019,0.95568,0.007498,22.16,3.749068,1.0,0.0,22.16,3.749068,0.464108,0.101157,0.010022,0.148249,0.011602,0.014034,0.014034,0.011602,0.0017,0.00106,0.530198,0.0,0.530198,0.014306,45.0,51.0,2.0,28.5
3.0,20,0.822898,0.058494,11.732893,0.85558,0.879,0.069319,0.221794,0.077996,0.778206,0.077996,0.879,0.069319,0.869995,0.009932,0.95444,0.005273,22.78,2.636401,1.0,0.0,22.78,2.636401,0.427176,0.09577,0.008272,0.120997,0.009803,0.01103,0.01103,0.009803,0.001405,0.000746,0.372843,0.0,0.372843,0.013544,21.0,8.0,3.0,28.5
3.0,50,0.82376,0.061268,11.645146,0.811503,0.888,0.072534,0.226153,0.082624,0.773847,0.082624,0.888,0.072534,0.870967,0.009448,0.9536,0.006194,23.2,3.097069,1.0,0.0,23.2,3.097069,0.4178,0.094985,0.008665,0.114764,0.010258,0.011685,0.011685,0.010258,0.001336,0.000876,0.437992,0.0,0.437992,0.013433,18.0,1.0,7.0,28.5
3.0,100,0.823192,0.061584,11.646609,0.815279,0.886,0.074942,0.225782,0.081312,0.774218,0.081312,0.886,0.074942,0.870951,0.009489,0.95376,0.006096,23.12,3.048184,1.0,0.0,23.12,3.048184,0.418394,0.09644,0.008709,0.115298,0.010598,0.011499,0.011499,0.010598,0.001342,0.000862,0.431078,0.0,0.431078,0.013639,19.5,2.5,5.5,28.5
3.0,None,0.823192,0.061584,11.646609,0.815279,0.886,0.074942,0.225782,0.081312,0.774218,0.081312,0.886,0.074942,0.870951,0.009489,0.95376,0.006096,23.12,3.048184,1.0,0.0,23.12,3.048184,0.418394,0.09644,0.008709,0.115298,0.010598,0.011499,0.011499,0.010598,0.001342,0.000862,0.431078,0.0,0.431078,0.013639,19.5,2.5,5.5,28.5
