idx,repeat,params_lambda_ridge,params_lambda_,params_gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
25,3,50.0,0.01,1.0,6.069774202965823,0.9696284307556865,0.14705882352941177,1.0,0.9206349206349206,0.07936507936507936,1.0,0.496,252,3,0.1511070728302002
25,4,50.0,0.01,1.0,3.6258668991055054,0.9853453547710133,0.16597510373443985,1.0,0.9095022624434389,0.09049773755656108,1.0,0.558,221,4,0.14674830436706543
26,0,50.0,0.01,2.0,8.110284788014368,0.9628412047621041,0.13559322033898305,1.0,0.9272727272727272,0.07272727272727272,1.0,0.44999999999999996,275,0,0.14984726905822754
26,1,50.0,0.01,2.0,8.093735177197418,0.956660686384361,0.11396011396011398,1.0,0.9395770392749244,0.06042296072507553,1.0,0.33799999999999997,331,1,0.15901470184326172
26,2,50.0,0.01,2.0,17.252726510129932,0.9195116095809573,0.1045751633986928,0.8,0.9440559440559441,0.055944055944055944,0.8,0.42800000000000005,286,2,0.14384102821350098
26,3,50.0,0.01,2.0,6.641346370152196,0.9667684324965518,0.11049723756906078,1.0,0.9415204678362573,0.05847953216374269,1.0,0.31599999999999995,342,3,0.16162705421447754
26,4,50.0,0.01,2.0,5.946481413929159,0.9759661405377585,0.12779552715654954,1.0,0.931740614334471,0.06825938566552901,1.0,0.41400000000000003,293,4,0.15334081649780273
27,0,50.0,0.1,0.5,1.166171264041229,0.9946569670060333,0.44943820224719105,1.0,0.7101449275362319,0.2898550724637681,1.0,0.862,69,0,0.07093691825866699
27,1,50.0,0.1,0.5,1.41943459252856,0.992399390440177,0.36697247706422015,1.0,0.7752808988764045,0.2247191011235955,1.0,0.8220000000000001,89,1,0.07411074638366699
27,2,50.0,0.1,0.5,1.8799512562378669,0.9912295456261943,0.396039603960396,1.0,0.7530864197530864,0.24691358024691357,1.0,0.838,81,2,0.054164886474609375
27,3,50.0,0.1,0.5,2.2709081068663113,0.9886369672892507,0.396039603960396,1.0,0.7530864197530864,0.24691358024691357,1.0,0.838,81,3,0.06773638725280762
27,4,50.0,0.1,0.5,1.4314902809041776,0.9942143540292203,0.4444444444444445,1.0,0.7142857142857143,0.2857142857142857,1.0,0.86,70,4,0.04343867301940918
28,0,50.0,0.1,1.0,1.6857983563997034,0.9922761977445709,0.2597402597402597,1.0,0.8507462686567164,0.14925373134328357,1.0,0.732,134,0,0.13628244400024414
28,1,50.0,0.1,1.0,2.391992834837383,0.987191658070622,0.19999999999999998,1.0,0.8888888888888888,0.1111111111111111,1.0,0.64,180,1,0.13304948806762695
28,2,50.0,0.1,1.0,2.358114505297141,0.9889987915334006,0.2684563758389262,1.0,0.8449612403100775,0.15503875968992248,1.0,0.742,129,2,0.13256144523620605
28,3,50.0,0.1,1.0,3.261467643299677,0.983680465359294,0.18604651162790695,1.0,0.8974358974358975,0.10256410256410256,1.0,0.61,195,3,0.14577841758728027
28,4,50.0,0.1,1.0,2.2353088759361595,0.9909655650729676,0.2469135802469136,1.0,0.8591549295774648,0.14084507042253522,1.0,0.716,142,4,0.1339571475982666
29,0,50.0,0.1,2.0,9.054173488120535,0.9585166011444307,0.14545454545454545,1.0,0.9215686274509803,0.0784313725490196,1.0,0.49,255,0,0.14810943603515625
