idx,repeat,params_lambda_ridge,params_lambda_,params_gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
20,2,10.0,0.5,2.0,8.47874092430399,0.9604445007937384,0.1423487544483985,1.0,0.9233716475095786,0.0766283524904214,1.0,0.478,261,2,0.1518301963806152
29,4,50.0,0.1,2.0,9.369346318298968,0.9621319672942056,0.1413427561837456,1.0,0.9239543726235742,0.0760456273764258,1.0,0.474,263,4,0.1516897678375244
8,3,1.0,0.5,2.0,5.865566611197522,0.9706502323592082,0.1413427561837456,1.0,0.9239543726235742,0.0760456273764258,1.0,0.474,263,3,0.1447930335998535
23,4,10.0,1.0,2.0,7.588614849035149,0.9693291393516222,0.1403508771929824,1.0,0.9245283018867924,0.0754716981132075,1.0,0.47,265,4,0.1463394165039062
5,1,1.0,0.1,2.0,8.054610758418969,0.9568701848938064,0.1403508771929824,1.0,0.9245283018867924,0.0754716981132075,1.0,0.47,265,1,0.1478359699249267
20,0,10.0,0.5,2.0,7.510974643449319,0.9655870569150146,0.136986301369863,1.0,0.9264705882352942,0.0735294117647058,1.0,0.4559999999999999,272,0,0.1486282348632812
5,4,1.0,0.1,2.0,5.899256462376883,0.9761570093507106,0.135593220338983,1.0,0.9272727272727272,0.0727272727272727,1.0,0.4499999999999999,275,4,0.1472921371459961
26,0,50.0,0.01,2.0,8.110284788014368,0.962841204762104,0.135593220338983,1.0,0.9272727272727272,0.0727272727272727,1.0,0.4499999999999999,275,0,0.1498472690582275
20,4,10.0,0.5,2.0,7.086877658130222,0.971357007647812,0.1342281879194631,1.0,0.9280575539568344,0.0719424460431654,1.0,0.4439999999999999,278,4,0.1396760940551757
17,1,10.0,0.1,2.0,9.48086302865346,0.9492330688921788,0.1338028169014084,0.95,0.928030303030303,0.0719696969696969,0.95,0.472,264,1,0.16786789894104
14,3,10.0,0.01,2.0,6.83909982811707,0.9657789256976088,0.1324503311258278,1.0,0.9290780141843972,0.0709219858156028,1.0,0.436,282,3,0.1532645225524902
35,3,50.0,1.0,2.0,7.636474403196252,0.961789070999416,0.1298701298701298,1.0,0.9305555555555556,0.0694444444444444,1.0,0.424,288,3,0.1551325321197509
32,1,50.0,0.5,2.0,9.572613853638284,0.94874177313176,0.1290322580645161,1.0,0.9310344827586208,0.0689655172413793,1.0,0.42,290,1,0.1458930969238281
5,3,1.0,0.1,2.0,6.325535669329977,0.9683486669908482,0.1290322580645161,1.0,0.9310344827586208,0.0689655172413793,1.0,0.42,290,3,0.1424767971038818
11,2,1.0,1.0,2.0,15.954455621289553,0.9255683759772314,0.1288135593220339,0.95,0.9309090909090908,0.069090909090909,0.95,0.4499999999999999,275,2,0.1462717056274414
26,4,50.0,0.01,2.0,5.946481413929159,0.9759661405377584,0.1277955271565495,1.0,0.931740614334471,0.068259385665529,1.0,0.414,293,4,0.1533408164978027
17,0,10.0,0.1,2.0,4.995768964448909,0.9771109448240176,0.1269841269841269,1.0,0.9322033898305084,0.0677966101694915,1.0,0.41,295,0,0.1511926651000976
5,0,1.0,0.1,2.0,5.873030229402605,0.9730916073325984,0.1265822784810126,1.0,0.9324324324324323,0.0675675675675675,1.0,0.408,296,0,0.1518058776855468
