sigma,snr,repeat,lambda_ridge,lambda_,gamma,mse,r2,f1,tpr,fdr,precision,recall,sparsity,n_selected,fold,train_time
0.3,3.3333333333333335,4,1.0,1.0,0.5,1.451133341933986,0.9763378510058939,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.010940313339233398
0.3,3.3333333333333335,0,1.0,1.0,0.5,0.8421744029065239,0.9913312295735158,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.011514902114868164
0.3,3.3333333333333335,1,1.0,1.0,0.5,0.5638211817181706,0.99286102219068,1.0,1.0,0.0,1.0,1.0,0.96,20,1,0.012276887893676758
0.3,3.3333333333333335,2,1.0,1.0,0.5,1.5440630459564326,0.9769966641134765,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,2,0.011881113052368164
0.3,3.3333333333333335,3,1.0,1.0,0.5,0.5622380110941508,0.9930897950398329,1.0,1.0,0.0,1.0,1.0,0.96,20,3,0.010915756225585938
0.3,3.3333333333333335,4,1.0,1.0,0.5,1.451133341933986,0.9763378510058939,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.011043310165405273
0.5,2.0,0,1.0,1.0,0.5,1.2145335046793018,0.9875250259385119,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.011516571044921875
0.5,2.0,1,1.0,1.0,0.5,0.7129149698485968,0.9909915335706049,1.0,1.0,0.0,1.0,1.0,0.96,20,1,0.011270523071289062
0.5,2.0,2,1.0,1.0,0.5,1.9098998805421592,0.9716817501392345,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,2,0.011628866195678711
0.5,2.0,3,1.0,1.0,0.5,0.883152167818637,0.989253104160644,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,3,0.01135563850402832
0.5,2.0,4,1.0,1.0,0.5,1.6691168302656794,0.9727113614323578,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.010836601257324219
0.5,2.0,0,1.0,1.0,0.5,1.2145335046793018,0.9875250259385119,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.011394023895263672
0.5,2.0,1,1.0,1.0,0.5,0.7129149698485968,0.9909915335706049,1.0,1.0,0.0,1.0,1.0,0.96,20,1,0.011118173599243164
0.5,2.0,2,1.0,1.0,0.5,1.9098998805421592,0.9716817501392345,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,2,0.011712312698364258
0.5,2.0,3,1.0,1.0,0.5,0.883152167818637,0.989253104160644,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,3,0.011162996292114258
0.5,2.0,4,1.0,1.0,0.5,1.6691168302656794,0.9727113614323578,1.0,1.0,0.0,1.0,1.0,0.96,20,4,0.010746240615844727
0.5,2.0,0,1.0,1.0,0.5,1.2145335046793018,0.9875250259385119,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,0,0.012218236923217773
0.5,2.0,1,1.0,1.0,0.5,0.7129149698485968,0.9909915335706049,1.0,1.0,0.0,1.0,1.0,0.96,20,1,0.011554479598999023
0.5,2.0,2,1.0,1.0,0.5,1.9098998805421592,0.9716817501392345,0.9090909090909091,1.0,0.16666666666666666,0.8333333333333334,1.0,0.952,24,2,0.011768817901611328
0.5,2.0,3,1.0,1.0,0.5,0.883152167818637,0.989253104160644,0.975609756097561,1.0,0.047619047619047616,0.9523809523809523,1.0,0.958,21,3,0.011327266693115234
